name,time,Bat_Ahr,Bat_Watts_in,DC_A,DC_V,SOC,heat,interval,kWhr,local_dt,old_plug,parm,watts
power,2023-02-06T23:38:31Z,,,,,,,,,2023-02-06T18:38:31,OFF,,
power,2023-02-06T23:39:54Z,,,,,,,,107.74,2023-02-06T18:39:54,,lamp_pwr,0
power,2023-02-06T23:39:56Z,,,,,,OFF,,,2023-02-06T18:39:56,,,
power,2023-02-06T23:43:31Z,,,,,,,,,2023-02-06T18:43:31,OFF,,
power,2023-02-06T23:44:55Z,,,,,,,,107.74,2023-02-06T18:44:55,,lamp_pwr,0
power,2023-02-06T23:44:56Z,,,,,,OFF,,,2023-02-06T18:44:56,,,
power,2023-02-06T23:48:31Z,,,,,,,,,2023-02-06T18:48:31,OFF,,
power,2023-02-06T23:49:54Z,,,,,,,,107.74,2023-02-06T18:49:54,,lamp_pwr,0
power,2023-02-06T23:49:56Z,,,,,,OFF,,,2023-02-06T18:49:56,,,
power,2023-02-06T23:53:31Z,,,,,,,,,2023-02-06T18:53:31,OFF,,
