name,time,heat,kWhr,local_dt,old_plug,parm,watts
power,2023-01-18T23:29:08Z,,107.554,2023-01-18T18:29:08,,lamp_pwr,183
power,2023-01-18T23:29:08Z,ON,,2023-01-18T18:29:08,,,
power,2023-01-18T23:30:09Z,,,2023-01-18T18:30:09,ON,,
power,2023-01-18T23:34:08Z,,107.57,2023-01-18T18:34:08,,lamp_pwr,182
power,2023-01-18T23:34:08Z,ON,,2023-01-18T18:34:08,,,
power,2023-01-18T23:35:09Z,,,2023-01-18T18:35:09,ON,,
power,2023-01-18T23:39:07Z,OFF,,2023-01-18T18:39:07,,,
power,2023-01-18T23:39:08Z,,107.585,2023-01-18T18:39:08,,lamp_pwr,0
power,2023-01-18T23:39:08Z,OFF,,2023-01-18T18:39:08,,,
power,2023-01-18T23:40:09Z,,,2023-01-18T18:40:09,ON,,
power,2023-01-18T23:44:08Z,,107.585,2023-01-18T18:44:08,,lamp_pwr,0
power,2023-01-18T23:44:08Z,OFF,,2023-01-18T18:44:08,,,
power,2023-01-18T23:45:09Z,,,2023-01-18T18:45:09,ON,,
power,2023-01-18T23:49:08Z,,107.585,2023-01-18T18:49:08,,lamp_pwr,0
power,2023-01-18T23:49:08Z,OFF,,2023-01-18T18:49:08,,,
power,2023-01-18T23:50:09Z,,,2023-01-18T18:50:09,ON,,
power,2023-01-18T23:54:08Z,,107.585,2023-01-18T18:54:08,,lamp_pwr,0
power,2023-01-18T23:54:08Z,OFF,,2023-01-18T18:54:08,,,
power,2023-01-18T23:55:09Z,,,2023-01-18T18:55:09,ON,,
power,2023-01-18T23:59:08Z,,107.585,2023-01-18T18:59:08,,lamp_pwr,0
power,2023-01-18T23:59:08Z,OFF,,2023-01-18T18:59:08,,,
power,2023-01-19T00:00:09Z,,,2023-01-18T19:00:09,ON,,
power,2023-01-19T00:03:13Z,ON,,2023-01-18T19:03:13,,,
power,2023-01-19T00:04:08Z,,107.588,2023-01-18T19:04:08,,lamp_pwr,184
power,2023-01-19T00:04:08Z,ON,,2023-01-18T19:04:08,,,
power,2023-01-19T00:05:09Z,,,2023-01-18T19:05:09,ON,,
power,2023-01-19T00:09:08Z,,107.603,2023-01-18T19:09:08,,lamp_pwr,185
power,2023-01-19T00:09:08Z,ON,,2023-01-18T19:09:08,,,
power,2023-01-19T00:10:09Z,,,2023-01-18T19:10:09,ON,,
power,2023-01-19T00:12:15Z,OFF,,2023-01-18T19:12:15,,,
power,2023-01-19T00:14:08Z,,107.613,2023-01-18T19:14:08,,lamp_pwr,0
power,2023-01-19T00:14:08Z,OFF,,2023-01-18T19:14:08,,,
power,2023-01-19T00:15:09Z,,,2023-01-18T19:15:09,ON,,
power,2023-01-19T00:19:08Z,,107.613,2023-01-18T19:19:08,,lamp_pwr,0
power,2023-01-19T00:19:08Z,OFF,,2023-01-18T19:19:08,,,
power,2023-01-19T00:20:09Z,,,2023-01-18T19:20:09,ON,,
power,2023-01-19T00:24:08Z,,107.613,2023-01-18T19:24:08,,lamp_pwr,0
power,2023-01-19T00:24:08Z,OFF,,2023-01-18T19:24:08,,,
power,2023-01-19T00:25:09Z,,,2023-01-18T19:25:09,ON,,
power,2023-01-19T00:29:08Z,,107.613,2023-01-18T19:29:08,,lamp_pwr,0
power,2023-01-19T00:29:08Z,OFF,,2023-01-18T19:29:08,,,
power,2023-01-19T00:30:09Z,,,2023-01-18T19:30:09,ON,,
power,2023-01-19T00:34:08Z,,107.613,2023-01-18T19:34:08,,lamp_pwr,0
power,2023-01-19T00:34:08Z,OFF,,2023-01-18T19:34:08,,,
power,2023-01-19T00:35:09Z,,,2023-01-18T19:35:09,ON,,
power,2023-01-19T00:36:21Z,ON,,2023-01-18T19:36:21,,,
power,2023-01-19T00:39:08Z,,107.622,2023-01-18T19:39:08,,lamp_pwr,184
power,2023-01-19T00:39:08Z,ON,,2023-01-18T19:39:08,,,
power,2023-01-19T00:40:09Z,,,2023-01-18T19:40:09,ON,,
power,2023-01-19T00:44:08Z,,107.637,2023-01-18T19:44:08,,lamp_pwr,183
