name,time,avg_temp_closet,avg_temp_outdoor,avg_temp_shed,heater_kWhr,heater_on,interval,local_dt,max_temp_closet,min_temp_closet,pct_heater_on,yr_mo,yr_mo_1
d1_temp,2023-09-23T04:00:00Z,13.063346354166667,13.445735677083336,16.717708333333334,0,23.99790474526083,23.99790474526083,2023-09-23T00:00:21,15.25,9.5625,1,,23-09
d1_temp,2023-09-24T04:00:00Z,15.511707899305554,15.814485677083333,18.82360026041666,0,11.521756283319167,24.011672155263614,2023-09-24T00:00:14,17.375,13.5,0.47983981327154157,,23-09
d1_temp,2023-09-25T04:00:00Z,17.295713975694444,16.705566406250004,19.735807291666664,0,5.518738512500001,23.992775979942774,2023-09-25T00:00:56,19.5,14.625,0.23001667323170513,,23-09
d1_temp,2023-09-26T04:00:00Z,21.830718315972224,18.244574652777775,19.209950086805556,0,0,24.005474813299166,2023-09-26T00:00:30,25.5,18.1875,0,,23-09
d1_temp,2023-09-27T04:00:00Z,19.605143229166668,17.533355034722216,18.223111979166667,0,0,23.991131061285834,2023-09-27T00:00:50,21.25,17.25,0,,23-09
d1_temp,2023-09-28T04:00:00Z,19.593413628472224,16.882606336805555,18.49181857638889,0,0,24.010579020924173,2023-09-28T00:00:18,21.8125,16.3125,0,,23-09
d1_temp,2023-09-29T04:00:00Z,16.988693576388886,11.585427517361111,15.297406684027775,0.0759999999999934,0.4518281747222222,23.99433453216472,2023-09-29T00:00:56,19.8125,15.4375,0.018830619124549614,,23-09
d1_temp,2023-09-30T04:00:00Z,20.833897569444442,17.27224392361111,19.706336805555555,0,0,23.994661390765557,2023-09-30T00:00:35,23.75,17.5625,0,,23-09
d1_temp,2023-10-01T04:00:00Z,23.709827112268517,22.69934172453704,21.88162254050926,0,0,24.002349634332223,2023-10-01T00:00:16,28.1875,19.75,0,,23-10
d1_temp,2023-10-02T04:00:00Z,24.15281032986111,24.72064887152777,21.994476996527776,0,0,23.993207607111945,2023-10-02T00:00:25,26.8125,21.5,0,,23-10
d1_temp,2023-10-03T04:00:00Z,21.05517578125,24.39032118055555,21.348068576388886,0,0,24.014145742802782,2023-10-03T00:00:00,24,17.1875,0,,23-10
d1_temp,2023-10-04T04:00:00Z,23.988715277777782,27.230284288194444,24.318815104166664,0,0,23.989433331517777,2023-10-04T00:00:51,26.875,20.625,0,,23-10
d1_temp,2023-10-05T04:00:00Z,24.692795138888894,21.62112630208333,22.986621093750003,0,0,24.00529669489333,2023-10-05T00:00:13,27.8125,21.125,0,,23-10
d1_temp,2023-10-06T04:00:00Z,23.076302083333335,18.34983723958333,21.99533420138889,0,0,24.00719837421278,2023-10-06T00:00:32,26.0625,21.1875,0,,23-10
d1_temp,2023-10-07T04:00:00Z,23.339800347222223,18.840885416666673,22.689854600694442,0,0,23.988809200723612,2023-10-07T00:00:58,26.3125,22.375,0,,23-10
d1_temp,2023-10-08T04:00:00Z,21.50223524305555,15.902647569444449,18.70954861111111,0,0,24.005056401076946,2023-10-08T00:00:18,23.8125,19.625,0,,23-10
d1_temp,2023-10-09T04:00:00Z,19.34622395833333,17.281542968750003,16.600325520833334,0,0,24.005917132211106,2023-10-09T00:00:36,21.75,15.9375,0,,23-10
d1_temp,2023-10-10T04:00:00Z,16.53853081597222,11.39015842013889,14.486848958333335,0.18199999999998795,1.0035447083333333,23.990709176684444,2023-10-10T00:00:57,18.625,15.375,0.04183055619333822,,23-10
d1_temp,2023-10-11T04:00:00Z,17.131651475694444,14.030501302083337,16.201334635416668,0.1880000000000166,1.0873759205555553,24.007710770051393,2023-10-11T00:00:24,19.75,15.4375,0.04529277826489025,,23-10
d1_temp,2023-10-12T04:00:00Z,17.997645399305558,15.485058593750002,17.594476996527778,0,0,23.989428761167783,2023-10-12T00:00:52,20.8125,16.375,0,,23-10
d1_temp,2023-10-13T04:00:00Z,18.113172743055554,13.715700954861115,15.359939236111112,0,0,24.00271948892333,2023-10-13T00:00:14,21.5625,16.3125,0,,23-10
d1_temp,2023-10-14T04:00:00Z,19.148860677083338,16.410774739583335,16.059027777777782,0.043000000000006366,0.2508250461111111,24.00471242980999,2023-10-14T00:00:23,23.625,15.4375,0.010448991915421856,,23-10
